"id","code","name","aliquot","tax_id:id"
ncm_328,"0304.19.19","Outros","0",tax_4
ncm_329,"0304.19.90","Outros","0",tax_4
ncm_331,"0304.21.00","Espadartes (Xiphias gladius)","0",tax_4
ncm_333,"0304.22.10","Marlongas-negras (Dissostichus eleginoides)","0",tax_4
ncm_334,"0304.22.90","Outras","0",tax_4
ncm_336,"0304.29.10","Merluzas (Merluccius spp.)","0",tax_4
ncm_337,"0304.29.20","Pargos (Lutjanus purpureus)","0",tax_4
ncm_338,"0304.29.30","Tilápias (Oreochromis niloticus) ","0",tax_4
ncm_339,"0304.29.40","Chernes-poveiros (Polyprion americanus) ","0",tax_4
ncm_340,"0304.29.50","Garoupas (Acanthistius spp.)","0",tax_4
ncm_341,"0304.29.60","Bagres (Ictalurus puntactus)","0",tax_4
ncm_342,"0304.29.70","De tubarão-azul (Prionace glauca)","0",tax_4
ncm_343,"0304.29.90","Outros","0",tax_4
ncm_345,"0304.91.00","Espadartes (Xiphias gladius)","0",tax_4
ncm_348,"0304.92.11","Bochechas (cheeks)","0",tax_4
ncm_349,"0304.92.12","Colares (collars)","0",tax_4
ncm_350,"0304.92.19","Outros","0",tax_4
ncm_352,"0304.92.21","Bochechas (cheeks)","0",tax_4
ncm_353,"0304.92.22","Colares (collars)","0",tax_4
ncm_354,"0304.92.29","Outros","0",tax_4
ncm_355,"0304.99.00","Outros","0",tax_4
ncm_357,"0305.10.00","Farinhas, pós e pellets, de peixe, próprios para alimentação humana","0",tax_4
ncm_358,"0305.20.00","Fígados, ovas e sêmen, de peixes, secos, defumados, salgados ou em salmoura","0",tax_4
ncm_359,"0305.30.00","Filés de peixes, secos, salgados ou em salmoura, mas não defumados","0",tax_4
ncm_361,"0305.41.00","Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmões-do-atlântico (Salmo salar) e salmões-do-danúbio (Hucho hucho)","5",tax_4
ncm_362,"0305.42.00","Arenques (Clupea harengus, Clupea pallasii)","5",tax_4
ncm_364,"0305.49.10","Bacalhaus (Gadus morhua, Gadus ogac, Gadus macrocephalus)","5",tax_4
ncm_365,"0305.49.90","Outros","0",tax_4
ncm_367,"0305.51.00","Bacalhaus (Gadus morhua, Gadus ogac, Gadus macrocephalus)","5",tax_4
ncm_369,"0305.59.10","Das espécies citadas na Nota Complementar 1 deste Capítulo","5",tax_4
ncm_370,"0305.59.20","Barbatanas de tubarão","5",tax_4
ncm_371,"0305.59.90","Outros","5",tax_4
ncm_373,"0305.61.00","Arenques (Clupea harengus, Clupea pallasii)","5",tax_4
ncm_374,"0305.62.00","Bacalhaus (Gadus morhua, Gadus ogac, Gadus macrocephalus)","5",tax_4
ncm_375,"0305.63.00","Anchovas (Engraulis spp.)","0",tax_4
ncm_376,"0305.69.00","Outros","0",tax_4
ncm_380,"0306.11.10","Inteiras","0",tax_4
ncm_381,"0306.11.90","Outras","0",tax_4
ncm_382,"0306.12.00","Lavagantes (homards) (Homarus spp.)","0",tax_4
ncm_384,"0306.13.10","Krill (Euphasia superba)","0",tax_4
ncm_386,"0306.13.91","Inteiros","0",tax_4
ncm_387,"0306.13.99","Outros","0",tax_4
ncm_388,"0306.14.00","Caranguejos","0",tax_4
ncm_389,"0306.19.00","Outros, incluídos as farinhas, pós e pellets, de crustáceos, próprios para alimentação humana","0",tax_4
ncm_391,"0306.21.00","Lagostas (Palinurus spp., Panulirus spp., Jasus spp.)","0",tax_4
ncm_392,"0306.22.00","Lavagantes (homards) (Homarus spp.)","0",tax_4
ncm_393,"0306.23.00","Camarões","0",tax_4
ncm_394,"0306.24.00","Caranguejos","0",tax_4
ncm_396,"0306.29.10","Lagostas de água doce (Cherax quadricarinatus)","0",tax_4
ncm_397,"0306.29.90","Outros","0",tax_4
ncm_399,"0307.10.00","Ostras","0",tax_4
ncm_401,"0307.21.00","Vivos, frescos ou refrigerados","0",tax_4
ncm_402,"0307.29.00","Outros","0",tax_4
ncm_404,"0307.31.00","Vivos, frescos ou refrigerados","0",tax_4
ncm_405,"0307.39.00","Outros","0",tax_4
ncm_407,"0307.41.00","Vivos, frescos ou refrigerados","0",tax_4
ncm_410,"0307.49.11","Lulas (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.)","0",tax_4
ncm_411,"0307.49.19","Outros","0",tax_4
ncm_412,"0307.49.20","Secos, salgados ou em salmoura","0",tax_4
ncm_414,"0307.51.00","Vivos, frescos ou refrigerados","0",tax_4
ncm_416,"0307.59.10","Congelados","0",tax_4
ncm_417,"0307.59.20","Secos, salgados ou em salmoura","0",tax_4
ncm_418,"0307.60.00","Caracóis, exceto os do mar","0",tax_4
ncm_420,"0307.91.00","Vivos, frescos ou refrigerados","0",tax_4
ncm_421,"0307.99.00","Outros","0",tax_4
ncm_424,"0401.10.10","Leite UHT (Ultra High Temperature)","",tax_4
ncm_425,"0401.10.90","Outros","",tax_4
ncm_427,"0401.20.10","Leite UHT (Ultra High Temperature)","",tax_4
ncm_428,"0401.20.90","Outros","",tax_4
ncm_430,"0401.30.10","Leite","",tax_4
ncm_432,"0401.30.21","UHT (Ultra High Temperature)","",tax_4
ncm_433,"0401.30.29","Outros","",tax_4
ncm_436,"0402.10.10","Com um teor de arsênio, chumbo ou cobre, considerados isoladamente, inferior a 5 ppm","0",tax_4
ncm_437,"0402.10.90","Outros","0",tax_4
ncm_440,"0402.21.10","Leite integral","0",tax_4
ncm_441,"0402.21.20","Leite parcialmente desnatado","0",tax_4
ncm_442,"0402.21.30","Creme de leite","0",tax_4
ncm_444,"0402.29.10","Leite integral","0",tax_4
ncm_445,"0402.29.20","Leite parcialmente desnatado","0",tax_4
ncm_446,"0402.29.30","Creme de leite","0",tax_4
ncm_448,"0402.91.00","Sem adição de açúcar ou de outros edulcorantes","0",tax_4
ncm_449,"0402.99.00","Outros","0",tax_4
ncm_451,"0403.10.00","Iogurte","",tax_4
ncm_452,"0403.90.00","Outros","",tax_4
ncm_454,"0404.10.00","Soro de leite, modificado ou não, mesmo concentrado ou adicionado de açúcar ou de outros edulcorantes","",tax_4
ncm_455,"0404.90.00","Outros","",tax_4
ncm_457,"0405.10.00","Manteiga","0",tax_4
ncm_458,"0405.20.00","Pastas de espalhar de produtos provenientes do leite","0",tax_4
ncm_460,"0405.90.10","Óleo butírico de manteiga (butter oil)","0",tax_4
ncm_461,"0405.90.90","Outras","0",tax_4
ncm_464,"0406.10.10","Mussarela","0",tax_4
ncm_465,"0406.10.90","Outros","0",tax_4
ncm_466,"0406.20.00","Queijos ralados ou em pó, de qualquer tipo","0",tax_4
ncm_467,"0406.30.00","Queijos fundidos, exceto ralados ou em pó","0",tax_4
ncm_468,"0406.40.00","Queijos de pasta mofada e outros queijos que apresentem veios produzidos por Penicillium roqueforti","0",tax_4
ncm_470,"0406.90.10","Com um teor de umidade inferior a 36,0%, em peso (massa dura)","0",tax_4
ncm_471,"0406.90.20","Com um teor de umidade superior ou igual a 36,0% e inferior a 46,0%, em peso (massa semidura)","0",tax_4
ncm_472,"0406.90.30","Com um teor de umidade superior ou igual a 46,0% e inferior a 55,0%, em peso (massa macia)","0",tax_4
ncm_473,"0406.90.90","Outros","0",tax_4
ncm_476,"0407.00.11","De galinhas","",tax_4
ncm_477,"0407.00.19","Outros","",tax_4
ncm_478,"0407.00.90","Outros","",tax_4
ncm_481,"0408.11.00","Secas","0",tax_4
ncm_482,"0408.19.00","Outras","0",tax_4
ncm_484,"0408.91.00","Secos","0",tax_4
ncm_485,"0408.99.00","Outros","0",tax_4
ncm_486,"0409.00.00","Mel natural.","",tax_4
ncm_487,"0410.00.00","Produtos comestíveis de origem animal, não especificados nem compreendidos em outras posições.","0",tax_4
ncm_488,"0501.00.00","Cabelos em bruto, mesmo lavados ou desengordurados; desperdícios de cabelo.","",tax_4
ncm_492,"0502.10.11","Lavadas, alvejadas ou desengorduradas, mesmo tintas","",tax_4
ncm_493,"0502.10.19","Outras","",tax_4
ncm_494,"0502.10.90","Outros","",tax_4
ncm_496,"0502.90.10","Pêlos","",tax_4
ncm_497,"0502.90.20","Desperdícios","",tax_4
ncm_500,"0504.00.11","De bovinos","",tax_4
ncm_501,"0504.00.12","De ovinos","",tax_4
ncm_502,"0504.00.13","De suínos","",tax_4
ncm_503,"0504.00.19","Outras","",tax_4
ncm_504,"0504.00.90","Outros","",tax_4
ncm_506,"0505.10.00","Penas dos tipos utilizados para enchimento ou estofamento; penugem","",tax_4
ncm_507,"0505.90.00","Outros","",tax_4
ncm_509,"0506.10.00","Osseína e ossos acidulados","",tax_4
ncm_510,"0506.90.00","Outros","",tax_4
ncm_512,"0507.10.00","Marfim; pó e desperdícios de marfim","",tax_4
ncm_513,"0507.90.00","Outros","",tax_4
ncm_514,"0508.00.00","Coral e matérias semelhantes, em bruto ou simplesmente preparados, mas não trabalhados de outro modo; conchas e carapaças de moluscos, crustáceos ou de equinodermes e ossos de sibas, em bruto ou simplesmente preparados, mas não cortados em forma determina","",tax_4
