"id","code","description","parent_id:id","country_id:id","state_id:id","city_id:id","internal_type"
"fiscal_operation_service_66","03.04.10","cessão de direitos sobre cabos","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_67","03.04.11","cessão de direitos sobre dutos","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_68","03.04.12","cessão de direitos sobre condutos em geral","fiscal_operation_service_56","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_69","03.05   ","Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário.","fiscal_operation_service_38","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_70","03.05.01","cessão de andaimes","fiscal_operation_service_69","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_71","03.05.02","cessão de palco","fiscal_operation_service_69","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_72","03.05.03","cessão de estrutura de uso temporário","fiscal_operation_service_69","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_73","04      ","Serviços de saúde, assistência médica e congêneres.";;"base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_74","04.01   ","Medicina e biomedicina.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_75","04.01.01","medicina","fiscal_operation_service_74","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_76","04.01.02","biomedicina","fiscal_operation_service_74","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_77","04.02   ","Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_78","04.02.01","análises clínicas, patologia ou congênere","fiscal_operation_service_77","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_79","04.02.02","eletricidade médica ou congênere","fiscal_operation_service_77","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_80","04.02.03","radioterapia ou congênere","fiscal_operation_service_77","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_81","04.02.04","quimioterapia ou congênere","fiscal_operation_service_77","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_82","04.02.05","ultra-sonografia, ressonância magnética, radiologia, tomografia ou congênere","fiscal_operation_service_77","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_83","04.02.06","hemoterapia","fiscal_operation_service_77","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_84","04.02.07","litotripsia","fiscal_operation_service_77","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_85","04.02.08","exames médicos e de saúde em geral","fiscal_operation_service_77","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_86","04.03   ","Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e         congêneres.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_87","04.03.01","serviços prestados por hospital","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_88","04.03.02","Serviços de saúde ou de assistência médica prestados por hospital apto a efetuar internações","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_89","04.03.03","serviços prestados por clínica ","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_90","04.03.04","Serviços de saúde ou de assistência médica prestados por clínica apta a efetuar internações","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_91","04.03.05","serviços de laboratório","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_92","04.03.06","serviços prestados por sanatório","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_93","04.03.07","Serviços de saúde ou de assistência médica prestados por sanatório apto a efetuar internações","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
