"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id"
cep_70002905,"l10n_br_base.br_df","70002905","SBN Quadra 1 Bloco A 1º andar","","Asa Norte","l10n_br_base.city_5564"
cep_70335900,"l10n_br_base.br_df","70335900","SMHS Área Especial A","","Asa Sul","l10n_br_base.city_5564"
cep_70394900,"l10n_br_base.br_df","70394900","SDS Bloco M","","Asa Sul","l10n_br_base.city_5564"
cep_70003902,"l10n_br_base.br_df","70003902","SBN Quadra 1 Bloco A","","Asa Norte","l10n_br_base.city_5564"
cep_70710905,"l10n_br_base.br_df","70710905","SMHN 1 Bloco A","","Asa Norte","l10n_br_base.city_5564"
cep_70770902,"l10n_br_base.br_df","70770902","SHLN Quadra 1 Bloco J","","Asa Norte","l10n_br_base.city_5564"
cep_70304904,"l10n_br_base.br_df","70304904","SCS Quadra 4 Bloco A Lote 94","","Asa Sul","l10n_br_base.city_5564"
cep_70304914,"l10n_br_base.br_df","70304914","SCS Quadra 4 Bloco A Lote 230","","Asa Sul","l10n_br_base.city_5564"
cep_70408900,"l10n_br_base.br_df","70408900","SES 801 Lote 08","","Asa Sul","l10n_br_base.city_5564"
cep_70303906,"l10n_br_base.br_df","70303906","SCS Quadra 3 Bloco A Lote 95","","Asa Sul","l10n_br_base.city_5564"
cep_70313901,"l10n_br_base.br_df","70313901","SHS Quadra 3 Bloco B","","Asa Sul","l10n_br_base.city_5564"
cep_70096900,"l10n_br_base.br_df","70096900","Praça dos Tribunais Superiores","","Asa Sul","l10n_br_base.city_5564"
cep_70711902,"l10n_br_base.br_df","70711902","SCN Quadra 1 Bloco C","","Asa Norte","l10n_br_base.city_5564"
cep_70097900,"l10n_br_base.br_df","70097900","Praça dos Tribunais Superiores Bloco D","","Asa Sul","l10n_br_base.city_5564"
cep_70070900,"l10n_br_base.br_df","70070900","Praça dos Tribunais Superiores Bloco A","","Asa Sul","l10n_br_base.city_5564"
cep_70304913,"l10n_br_base.br_df","70304913","SCS Quadra 4 Bloco A Lote 219/237","","Asa Sul","l10n_br_base.city_5564"
cep_70712901,"l10n_br_base.br_df","70712901","SCN Quadra 2 Bloco A 7º Andar","","Asa Norte","l10n_br_base.city_5564"
cep_70305915,"l10n_br_base.br_df","70305915","SCS Quadra 5 Bloco C Lote 90","","Asa Sul","l10n_br_base.city_5564"
cep_70770903,"l10n_br_base.br_df","70770903","SHLN Conjunto G Lote 7","","Asa Norte","l10n_br_base.city_5564"
cep_70420900,"l10n_br_base.br_df","70420900","SES 807 Lote 30","","Asa Sul","l10n_br_base.city_5564"
cep_70393900,"l10n_br_base.br_df","70393900","SDS Bloco H","","Asa Sul","l10n_br_base.city_5564"
cep_70305911,"l10n_br_base.br_df","70305911","SCS Quadra 5 Bloco C Lote 43","","Asa Sul","l10n_br_base.city_5564"
cep_70768900,"l10n_br_base.br_df","70768900","SEPN 513 Lote 01","","Asa Norte","l10n_br_base.city_5564"
cep_70315900,"l10n_br_base.br_df","70315900","SCS Quadra 2 Bloco C Lote 41","","Asa Sul","l10n_br_base.city_5564"
cep_70437900,"l10n_br_base.br_df","70437900","SEN 18","","Asa Norte","l10n_br_base.city_5564"
cep_70710904,"l10n_br_base.br_df","70710904","SMHN 2 Bloco A","","Asa Norte","l10n_br_base.city_5564"
cep_70040903,"l10n_br_base.br_df","70040903","SBN Quadra 1 Bloco C","","Asa Norte","l10n_br_base.city_5564"
cep_70770905,"l10n_br_base.br_df","70770905","SHLN Bloco L Lote 12","","Asa Norte","l10n_br_base.city_5564"
cep_70710908,"l10n_br_base.br_df","70710908","SMHN Conjunto A Bloco 3","","Asa Norte","l10n_br_base.city_5564"
cep_70770908,"l10n_br_base.br_df","70770908","STN Bloco K","","Asa Norte","l10n_br_base.city_5564"
cep_70711906,"l10n_br_base.br_df","70711906","SCN Quadra 1 Bloco G Loja 130","","Asa Norte","l10n_br_base.city_5564"
cep_70041902,"l10n_br_base.br_df","70041902","SBN Quadra 1 Bloco B Lote 14","","Asa Norte","l10n_br_base.city_5564"
cep_70302918,"l10n_br_base.br_df","70302918","SCS Quadra 2 Bloco C Lote 256/278","","Asa Sul","l10n_br_base.city_5564"
cep_70740902,"l10n_br_base.br_df","70740902","SEPN 508 Bloco D 2º Andar","","Asa Norte","l10n_br_base.city_5564"
cep_70203900,"l10n_br_base.br_df","70203900","SGAS 608 Lote Único","","Asa Sul","l10n_br_base.city_5564"
cep_70002901,"l10n_br_base.br_df","70002901","SBN Quadra 1 Bloco A 19º Andar","","Asa Norte","l10n_br_base.city_5564"
cep_70770904,"l10n_br_base.br_df","70770904","SHLN Bloco K Lote 11","","Asa Norte","l10n_br_base.city_5564"
cep_70702909,"l10n_br_base.br_df","70702909","SHN Quadra 2 Bloco J","","Asa Norte","l10n_br_base.city_5564"
cep_70714903,"l10n_br_base.br_df","70714903","SCN Quadra 4 Bloco A Lote 80","","Asa Norte","l10n_br_base.city_5564"
cep_70702908,"l10n_br_base.br_df","70702908","SCN Quadra 2 Bloco I","","Asa Norte","l10n_br_base.city_5564"
cep_70719900,"l10n_br_base.br_df","70719900","SRTVN Lote P","","Asa Norte","l10n_br_base.city_5564"
cep_70759900,"l10n_br_base.br_df","70759900","SEPN 510 Bloco B Lote 08","","Asa Norte","l10n_br_base.city_5564"
cep_70703900,"l10n_br_base.br_df","70703900","SHN Quadra 3 Bloco A","","Asa Norte","l10n_br_base.city_5564"
cep_70067900,"l10n_br_base.br_df","70067900","Esplanada dos Ministérios Bloco E","","Zona Cívico-Administrativa","l10n_br_base.city_5564"
cep_70390906,"l10n_br_base.br_df","70390906","SHLS Conjunto A","","Asa Sul","l10n_br_base.city_5564"
cep_70304907,"l10n_br_base.br_df","70304907","SCS Quadra 4 Bloco A Lote 156","","Asa Sul","l10n_br_base.city_5564"
cep_70302911,"l10n_br_base.br_df","70302911","SCS Quadra 2 Bloco C Lote 115","","Asa Sul","l10n_br_base.city_5564"
