"id","code","name","admitted_taxes","date_start","date_end"
"nature_income_15042","15042","Remuneração de Serviços de veterinária.","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15043","15043","Remuneração de Serviços de Limpeza","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15044","15044","Remuneração de Serviços de Conservação/ Manutenção, exceto reformas e obras assemelhadas","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15045","15045","Remuneração de Serviços de Segurança/Vigilância/Transporte de valores","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15046","15046","Remuneração de Serviços Locação de Mão de obra","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15047","15047","Remuneração de Serviços de Assessoria Creditícia, Mercadológica, Gestão de Crédito, Seleção e Riscos e Administração de Contas a Pagar e a Receber","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_15048","15048","Pagamentos Referentes à Aquisição de Autopeças","COFINS, PP","2023-09-01",""
"nature_income_15050","15050","Pagamento a título de transporte internacional de valores efetuado por empresas nacionais estaleiros navais brasileiros nas atividades de conservação, modernização, conversão e reparo de embarcações pré-registradas ou registradas no Registro Especial Brasileiro (REB)","IR, CSLL","2023-09-01",""
"nature_income_15051","15051","Pagamento efetuado a empresas estrangeiras de transporte de valores","IR","2023-09-01",""
"nature_income_15052","15052","Demais comissões, corretagens ou qualquer outra importância paga/creditada pela representação comercial ou pela mediação na realização de negócios civis e comerciais, que não se enquandrem nas situações listadas nos códigos do grupo 20","IR","2023-09-01",""
"nature_income_15099","15099","Demais Rendimentos de serviços técnicos, de assistência técnica, de assistência administrativa e semelhantes","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_16001","16001","Demais Rendimentos de serviços técnicos, de assistência técnica, de assistência administrativa e semelhantes","IR","2023-09-01",""
"nature_income_16002","16002","Demais Rendimentos de juros e comissões","IR","2023-09-01",""
"nature_income_16003","16003","Rendimento pago a companhia de navegação aérea e marítima","IR","2023-09-01",""
"nature_income_16004","16004","Rendimento de Direito relativo a exploração de obras audiovisuais estrangeiras, radiodifusão de sons e imagens e serviço de comunicação eletrônica de massa por assinatura","IR","2023-09-01",""
"nature_income_16005","16005","Demais Rendimentos de qualquer natureza","IR","2023-09-01",""
"nature_income_16006","16006","Demais rendimentos sujeitos à Alíquota ZERO","","2023-09-01",""
"nature_income_17001","17001","Alimentação","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17002","17002","Energia elétrica","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17003","17003","Serviços prestados com emprego de materiais","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17004","17004","Construção Civil por empreitada com emprego de materiais","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
