"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id"
cep_57045500,"l10n_br_base.br_al","57045500","Luiz de França Vergetti","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045410,"l10n_br_base.br_al","57045410","Empresário Mário Lehay","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045240,"l10n_br_base.br_al","57045240","Boa Esperança","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045480,"l10n_br_base.br_al","57045480","João Soriano do Bonfim","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57015550,"l10n_br_base.br_al","57015550","Valdo Araújo de Azevedo","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57015260,"l10n_br_base.br_al","57015260","Cruzeiro do Sul","Avenida","Vergel do Lago","l10n_br_base.city_1695"
cep_57015255,"l10n_br_base.br_al","57015255","Campo Verde","Travessa","Vergel do Lago","l10n_br_base.city_1695"
cep_57015250,"l10n_br_base.br_al","57015250","Campo Verde","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57015325,"l10n_br_base.br_al","57015325","Largo da Paz","Travessa","Vergel do Lago","l10n_br_base.city_1695"
cep_57015500,"l10n_br_base.br_al","57015500","Eronildes Medeiros Bandeira","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57014350,"l10n_br_base.br_al","57014350","Professor Luiz Carlos de Souza Neto","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57015810,"l10n_br_base.br_al","57015810","São Pedro","Travessa","Vergel do Lago","l10n_br_base.city_1695"
cep_57015440,"l10n_br_base.br_al","57015440","Balbino Lopes","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57015560,"l10n_br_base.br_al","57015560","General Alcir Werner","Avenida","Vergel do Lago","l10n_br_base.city_1695"
cep_57015450,"l10n_br_base.br_al","57015450","Joaquim Leão","Conjunto","Vergel do Lago","l10n_br_base.city_1695"
cep_57015540,"l10n_br_base.br_al","57015540","General Mário Lima","Avenida","Vergel do Lago","l10n_br_base.city_1695"
cep_57015530,"l10n_br_base.br_al","57015530","Parque Jardim Esperança","Conjunto","Vergel do Lago","l10n_br_base.city_1695"
cep_57015385,"l10n_br_base.br_al","57015385","São Francisco","Travessa","Vergel do Lago","l10n_br_base.city_1695"
cep_57015510,"l10n_br_base.br_al","57015510","Luiz de Almeida Farias","Avenida","Vergel do Lago","l10n_br_base.city_1695"
cep_57015850,"l10n_br_base.br_al","57015850","Governador Theobaldo Barbosa","Avenida","Vergel do Lago","l10n_br_base.city_1695"
cep_57015490,"l10n_br_base.br_al","57015490","Dona Áurea Carvalho","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57045400,"l10n_br_base.br_al","57045400","Empresário José Gomes de Barros","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57015570,"l10n_br_base.br_al","57015570","Virgem dos Pobres I","Conjunto","Vergel do Lago","l10n_br_base.city_1695"
cep_57045270,"l10n_br_base.br_al","57045270","Ceará","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57010380,"l10n_br_base.br_al","57010380","Doutor Paulo Neto","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010379,"l10n_br_base.br_al","57010379","Cônego Fernando Lyra","Rua","Trapiche da Barra","l10n_br_base.city_1695"
