"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id","country_id:id"
"cep_95095185","l10n_br_base.br_rs","95095185","Francisco Spiandorello","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95088360","l10n_br_base.br_rs","95088360","Ângelo Manosso","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088370","l10n_br_base.br_rs","95088370","Ângelo Quagliotto","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088380","l10n_br_base.br_rs","95088380","Anselmo Negrini","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088390","l10n_br_base.br_rs","95088390","Antônio Benevenuto de Marchi","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088400","l10n_br_base.br_rs","95088400","Antônio Pedron","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088410","l10n_br_base.br_rs","95088410","Antônio Sirena","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088420","l10n_br_base.br_rs","95088420","Arthur Rodolfo Rossarolla","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088430","l10n_br_base.br_rs","95088430","Aurélio Rufato","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088440","l10n_br_base.br_rs","95088440","Avelino Giacomet","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95088450","l10n_br_base.br_rs","95088450","Carlos Mutti","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95052070","l10n_br_base.br_rs","95052070","Atílio Andreazza","Rua","Sagrada Família","l10n_br_base.city_4698","base.br"
"cep_95088250","l10n_br_base.br_rs","95088250","Primo Adami","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95095235","l10n_br_base.br_rs","95095235","Antenor Roberto Gonzatto","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95088470","l10n_br_base.br_rs","95088470","Djorno Frassini","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95095200","l10n_br_base.br_rs","95095200","Ivan Antônio Cercato","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095203","l10n_br_base.br_rs","95095203","dos Alexandrini","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095205","l10n_br_base.br_rs","95095205","Emílio Ernesto Schmidt","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095210","l10n_br_base.br_rs","95095210","Jardim das Flores","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095215","l10n_br_base.br_rs","95095215","Salete Gonzatto","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095220","l10n_br_base.br_rs","95095220","José Mandelli","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095280","l10n_br_base.br_rs","95095280","Marcelino Ramos","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095230","l10n_br_base.br_rs","95095230","Júlio Calegari","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95088270","l10n_br_base.br_rs","95088270","Raimundo Casagrande","Rua","Planalto","l10n_br_base.city_4698","base.br"
"cep_95095232","l10n_br_base.br_rs","95095232","do Imigrante","Estrada","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95090170","l10n_br_base.br_rs","95090170","José Bolfe","Rua","Galópolis","l10n_br_base.city_4698","base.br"
"cep_95095240","l10n_br_base.br_rs","95095240","Hugo Marco Perasolo","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095250","l10n_br_base.br_rs","95095250","Hygino Tartarotti","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095253","l10n_br_base.br_rs","95095253","das Oliveiras","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095255","l10n_br_base.br_rs","95095255","Renato Alves de Oliveira","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095257","l10n_br_base.br_rs","95095257","Querino Antônio Hahn","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095260","l10n_br_base.br_rs","95095260","Luiz Maltauro","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095265","l10n_br_base.br_rs","95095265","Ary Fortunato Garbin","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095270","l10n_br_base.br_rs","95095270","João da Costa","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095225","l10n_br_base.br_rs","95095225","Bortolo Gregoletto","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095187","l10n_br_base.br_rs","95095187","Olga Crocoli","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095170","l10n_br_base.br_rs","95095170","Helmut Bornheim","Rua","Salgado Filho","l10n_br_base.city_4698","base.br"
"cep_95020370","l10n_br_base.br_rs","95020370","Marechal Floriano","Rua","Pio X","l10n_br_base.city_4698","base.br"
"cep_95020412","l10n_br_base.br_rs","95020412","Bento Gonçalves","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95013373","l10n_br_base.br_rs","95013373","Giovanni Antônio Covolan","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013380","l10n_br_base.br_rs","95013380","Nair de Grandi Gazzi","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013385","l10n_br_base.br_rs","95013385","Acilo Neto de Andrade","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013395","l10n_br_base.br_rs","95013395","Moacyr Mendes de Oliveira","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013400","l10n_br_base.br_rs","95013400","Doutor Nilson Teobaldo Schaeffer","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95020180","l10n_br_base.br_rs","95020180","Visconde de Pelotas","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95013350","l10n_br_base.br_rs","95013350","Vicente Rasia","Rua","Cinquentenário","l10n_br_base.city_4698","base.br"
"cep_95020411","l10n_br_base.br_rs","95020411","Bento Gonçalves","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95013367","l10n_br_base.br_rs","95013367","Claudino José Covolan","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95020360","l10n_br_base.br_rs","95020360","Ernesto Alves","Rua","Lurdes","l10n_br_base.city_4698","base.br"
"cep_95020000","l10n_br_base.br_rs","95020000","Sinimbu","Rua","Lurdes","l10n_br_base.city_4698","base.br"
"cep_95020371","l10n_br_base.br_rs","95020371","Marechal Floriano","Rua","Pio X","l10n_br_base.city_4698","base.br"
"cep_95020372","l10n_br_base.br_rs","95020372","Marechal Floriano","Rua","Pio X","l10n_br_base.city_4698","base.br"
"cep_95020380","l10n_br_base.br_rs","95020380","Assis Brasil","Rua","Jardelino Ramos","l10n_br_base.city_4698","base.br"
"cep_95020385","l10n_br_base.br_rs","95020385","dos Antúrios","Rua","Jardelino Ramos","l10n_br_base.city_4698","base.br"
"cep_95020390","l10n_br_base.br_rs","95020390","do Guia Lopes","Rua","Exposição","l10n_br_base.city_4698","base.br"
"cep_95020391","l10n_br_base.br_rs","95020391","do Guia Lopes","Rua","Exposição","l10n_br_base.city_4698","base.br"
"cep_95020340","l10n_br_base.br_rs","95020340","São João","Avenida","Centro","l10n_br_base.city_4698","base.br"
"cep_95020410","l10n_br_base.br_rs","95020410","Bento Gonçalves","Rua","Lurdes","l10n_br_base.city_4698","base.br"
"cep_95052100","l10n_br_base.br_rs","95052100","Bolívar Pedrotti Melgare","Rua","Sagrada Família","l10n_br_base.city_4698","base.br"
"cep_95020171","l10n_br_base.br_rs","95020171","Pinheiro Machado","Rua","Lurdes","l10n_br_base.city_4698","base.br"
"cep_95013305","l10n_br_base.br_rs","95013305","Ortelina Salvador Covolan","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95020110","l10n_br_base.br_rs","95020110","Ministro Toledo","Rua","São Pelegrino","l10n_br_base.city_4698","base.br"
"cep_95020120","l10n_br_base.br_rs","95020120","Paim Filho","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95020130","l10n_br_base.br_rs","95020130","da República","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95020140","l10n_br_base.br_rs","95020140","Rosolimbo Cossio","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95020150","l10n_br_base.br_rs","95020150","Viúva Maria Biasioli Tanini","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95020160","l10n_br_base.br_rs","95020160","Carlos Dutra Viana","Rua","Madureira","l10n_br_base.city_4698","base.br"
"cep_95020170","l10n_br_base.br_rs","95020170","Pinheiro Machado","Rua","Lurdes","l10n_br_base.city_4698","base.br"
"cep_95020490","l10n_br_base.br_rs","95020490","Dante Marcucci","Praça","Centro","l10n_br_base.city_4698","base.br"
"cep_95020085","l10n_br_base.br_rs","95020085","Pedro Marcarini","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013370","l10n_br_base.br_rs","95013370","Vitório Ivo Rossi","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013300","l10n_br_base.br_rs","95013300","Vereador Mário Rosa","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95020420","l10n_br_base.br_rs","95020420","Coronel Camisão","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95013310","l10n_br_base.br_rs","95013310","Nico Pires","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013315","l10n_br_base.br_rs","95013315","Claudino José Meneguzzi","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013320","l10n_br_base.br_rs","95013320","Nilo Benfica da Rocha","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013325","l10n_br_base.br_rs","95013325","Teresinha Camozzato de Brito","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013328","l10n_br_base.br_rs","95013328","Juvenal Avelino Costa","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013330","l10n_br_base.br_rs","95013330","Olímpio Stumpf","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013340","l10n_br_base.br_rs","95013340","Rodolfo Braghirolli","Rua","Cinquentenário","l10n_br_base.city_4698","base.br"
"cep_95020001","l10n_br_base.br_rs","95020001","Sinimbu","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95013360","l10n_br_base.br_rs","95013360","das Violetas","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95013365","l10n_br_base.br_rs","95013365","Frederico Tonietto","Rua","Marechal Floriano","l10n_br_base.city_4698","base.br"
"cep_95047070","l10n_br_base.br_rs","95047070","dos Araquas","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95020330","l10n_br_base.br_rs","95020330","Hércules Gallo","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95020300","l10n_br_base.br_rs","95020300","Antônio Ártico","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95020310","l10n_br_base.br_rs","95020310","Borges de Medeiros","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95020320","l10n_br_base.br_rs","95020320","Flores da Cunha","Rua","Jardim América","l10n_br_base.city_4698","base.br"
"cep_95020240","l10n_br_base.br_rs","95020240","Rinaldo Câmara","Rua","Madureira","l10n_br_base.city_4698","base.br"
"cep_95047121","l10n_br_base.br_rs","95047121","Ocer Pereira Campos","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95047047","l10n_br_base.br_rs","95047047","Maria de Souza Machado","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95047049","l10n_br_base.br_rs","95047049","Olívia dos Santos de Oliveira","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95047050","l10n_br_base.br_rs","95047050","dos Apicultores","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95020280","l10n_br_base.br_rs","95020280","Vinte e Cinco de Julho","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95047060","l10n_br_base.br_rs","95047060","das Arapongas","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95020270","l10n_br_base.br_rs","95020270","São José","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95047080","l10n_br_base.br_rs","95047080","das Ararás","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95047090","l10n_br_base.br_rs","95047090","dos Azulões","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
