"id","codigo","nome"
"tre_capac_0145","3305","Treinamento inicial em espaços confinados – Vigias"
"tre_capac_0146","3306","Treinamento inicial em espaços confinados – Supervisores de entrada"
"tre_capac_0147","3307","Treinamento eventual em espaços confinados"
"tre_capac_0148","3308","Treinamento anual de trabalhadores autorizados, Vigias e Supervisores de Entrada de espaços confinados"
"tre_capac_0149","3309","Capacitação – Equipe de salvamento em espaços confinados"
"tre_capac_0150","3310","Exercício simulado anual de salvamento em espaços confinados"
"tre_capac_0151","3417","Informações à contratante sobre as medidas estabelecidas no plano de emergência do Plano de Proteção Radiológica da executante na indústria naval"
"tre_capac_0152","3601","Treinamento admissional na indústria de abate e processamento de carnes e derivados"
"tre_capac_0153","3602","Treinamento periódico na indústria de abate e processamento de carnes e derivados"
"tre_capac_0154","3603","Treinamento no caso de exposição a agente biológico prejudicial à saúde do trabalhador na indústria de abate e processamento de carnes e derivados"
"tre_capac_0155","3604","Treinamento do Programa de Conservação Auditiva – trabalhadores expostos a níveis de pressão sonora acima dos níveis de ação na indústria de abate e processamento de carnes e derivados"
"tre_capac_0156","3605","Treinamento eventual na indústria de abate e processamento de carnes e derivados"
"tre_capac_0157","0097","Treinamento do Programa de Conservação Auditiva"
"tre_capac_0158","0098","Treinamento do Programa de Proteção Respiratória"
"tre_capac_0159","0099","Outros treinamentos, capacitações ou exercícios simulados, não previstos nas NRs"
